country,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007
Albania,1601.056136,1942.2842440000002,2312.888958,2760.196931,3313.422188,3533.0039100000004,3630.880722,3738.9327350000003,2497.4379010000002,3193.054604,4604.211737,5937.029525999999
Austria,6137.076492,8842.59803,10750.721109999999,12834.6024,16661.6256,19749.4223,21597.083619999998,23687.82607,27042.01868,29095.920660000003,32417.607689999997,36126.4927
Belgium,8343.105126999999,9714.960623,10991.20676,13149.04119,16672.14356,19117.97448,20979.84589,22525.56308,25575.57069,27561.196630000002,30485.88375,33692.60508
Bosnia and Herzegovina,973.5331947999999,1353.989176,1709.683679,2172.3524230000003,2860.16975,3528.481305,4126.613157,4314.114757,2546.781445,4766.355904,6018.975239,7446.298803
Bulgaria,2444.2866480000002,3008.670727,4254.337839,5577.0028,6597.494398,7612.240438,8224.191647,8239.854824,6302.6234380000005,5970.38876,7696.777725,10680.79282
Croatia,3119.23652,4338.231617,5477.890018,6960.297861,9164.090127,11305.38517,13221.82184,13822.58394,8447.794873,9875.604515,11628.38895,14619.222719999998
Czech Republic,6876.14025,8256.343918,10136.86713,11399.44489,13108.4536,14800.160619999999,15377.22855,16310.4434,14297.021219999999,16048.51424,17596.210219999997,22833.30851
Denmark,9692.385245,11099.65935,13583.31351,15937.21123,18866.20721,20422.9015,21688.04048,25116.17581,26406.73985,29804.34567,32166.500060000002,35278.41874
Finland,6424.519071,7545.415386,9371.842561,10921.63626,14358.8759,15605.422830000001,18533.15761,21141.01223,20647.16499,23723.9502,28204.59057,33207.0844
France,7029.809327,8662.834898000001,10560.48553,12999.91766,16107.19171,18292.635140000002,20293.89746,22066.44214,24703.79615,25889.78487,28926.032339999998,30470.0167
Germany,7144.114393000001,10187.82665,12902.46291,14745.62561,18016.180269999997,20512.92123,22031.532740000002,24639.18566,26505.30317,27788.88416,30035.80198,32170.37442
Greece,3530.690067,4916.299889,6017.190732999999,8513.097016,12724.82957,14195.524280000001,15268.420890000001,16120.528390000001,17541.49634,18747.69814,22514.2548,27538.41188
Hungary,5263.6738159999995,6040.180011,7550.359877,9326.64467,10168.65611,11674.837370000001,12545.99066,12986.47998,10535.62855,11712.7768,14843.93556,18008.94444
Iceland,7267.688428,9244.001412,10350.15906,13319.89568,15798.063619999999,19654.96247,23269.6075,26923.206280000002,25144.39201,28061.099660000003,31163.201960000002,36180.789189999996
Ireland,5210.280328,5599.077872,6631.597314,7655.568963,9530.772895999999,11150.98113,12618.321409999999,13872.86652,17558.81555,24521.94713,34077.04939,40675.99635
Italy,4931.404154999999,6248.656232,8243.58234,10022.40131,12269.27378,14255.98475,16537.4835,19207.234819999998,22013.64486,24675.02446,27968.098169999997,28569.7197
Montenegro,2647.585601,3682.259903,4649.593785,5907.850937,7778.414017,9595.929904999999,11222.58762,11732.51017,7003.339037000001,6465.613349,6557.194282,9253.896111
Netherlands,8941.571858,11276.193440000001,12790.849559999999,15363.25136,18794.74567,21209.0592,21399.46046,23651.32361,26790.94961,30246.13063,33724.75778,36797.93332
Norway,10095.42172,11653.97304,13450.40151,16361.87647,18965.05551,23311.34939,26298.635309999998,31540.9748,33965.66115,41283.16433,44683.97525,49357.19017
Poland,4029.3296990000003,4734.253019,5338.752143,6557.152776,8006.506993000001,9508.141454,8451.531004,9082.351172,7738.881247,10159.58368,12002.23908,15389.924680000002
Portugal,3068.319867,3774.571743,4727.954889,6361.517993,9022.247417,10172.48572,11753.84291,13039.30876,16207.266630000002,17641.03156,19970.90787,20509.64777
Romania,3144.613186,3943.370225,4734.9975859999995,6470.866545,8011.414401999999,9356.39724,9605.314053,9696.273295,6598.409903,7346.547556999999,7885.360081,10808.47561
Serbia,3581.4594479999996,4981.090891,6289.629157,7991.707066,10522.067490000001,12980.66956,15181.0927,15870.878509999999,9325.068238,7914.320304000001,7236.075251,9786.534714
Slovak Republic,5074.659104,6093.2629799999995,7481.1075980000005,8412.902397,9674.167626,10922.664040000001,11348.54585,12037.26758,9498.467723,12126.23065,13638.778369999998,18678.31435
Slovenia,4215.041741,5862.276629,7402.303395,9405.489397,12383.4862,15277.030169999998,17866.72175,18678.53492,14214.71681,17161.10735,20660.01936,25768.25759
Spain,3834.0347420000003,4564.80241,5693.843879,7993.512294,10638.75131,13236.92117,13926.169969999999,15764.98313,18603.06452,20445.29896,24835.47166,28821.0637
Sweden,8527.844662000001,9911.878226,12329.441920000001,15258.29697,17832.02464,18855.72521,20667.38125,23586.92927,23880.01683,25266.59499,29341.630930000003,33859.74835
Switzerland,14734.23275,17909.48973,20431.0927,22966.14432,27195.113039999997,26982.29052,28397.715119999997,30281.704589999998,31871.5303,32135.323010000004,34480.95771,37506.419069999996
Turkey,1969.1009800000002,2218.754257,2322.8699079999997,2826.3563870000003,3450.69638,4269.122326,4241.356344,5089.043686,5678.348271,6601.429915,6508.085718,8458.276384
United Kingdom,9979.508487000001,11283.17795,12477.17707,14142.85089,15895.116409999999,17428.74846,18232.42452,21664.787669999998,22705.09254,26074.53136,29478.99919,33203.26128
